Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
SList 10000 insert,96,96400,8474939392,1644847104,
SList 10000 insert,97,97300,8474939392,1644847104,
SList 10000 insert,98,98200,8474939392,1644847104,
SList 10000 insert,99,99200,8474939392,1644847104,
SList 10000 insert,100,100100,8474939392,1644847104,
SList 10000 insert,101,101100,8474939392,1644847104,
SList 10000 insert,102,102100,8474939392,1644847104,
SList 10000 insert,103,103000,8474939392,1644847104,
SList 10000 insert,104,104000,8474939392,1644847104,
SList 10000 insert,105,105100,8474939392,1644847104,
SList 10000 insert,106,106100,8474939392,1644847104,
SList 10000 insert,107,107000,8474939392,1644847104,
SList 10000 insert,108,108000,8474939392,1644847104,
SList 10000 insert,109,108900,8474939392,1644847104,
SList 10000 insert,110,109900,8474939392,1644847104,
SList 10000 insert,111,110800,8474939392,1644875776,
SList 10000 insert,112,111800,8474939392,1644875776,
SList 10000 insert,113,112700,8474939392,1644875776,
SList 10000 insert,114,113700,8474939392,1644875776,
SList 10000 insert,115,114600,8474939392,1644875776,
SList 10000 insert,116,115600,8474939392,1644875776,
SList 10000 insert,117,117300,8474939392,1644875776,
SList 10000 insert,118,118300,8474939392,1644875776,
SList 10000 insert,119,119300,8474939392,1644875776,
SList 10000 insert,120,120200,8474939392,1644875776,
SList 10000 insert,121,121200,8474939392,1644875776,
SList 10000 insert,122,122100,8474939392,1644875776,
SList 10000 insert,123,123100,8474939392,1644875776,
SList 10000 insert,124,124000,8474939392,1644875776,
SList 10000 insert,125,125000,8474939392,1644875776,
SList 10000 insert,126,125900,8474939392,1644875776,
SList 10000 insert,127,126900,8474939392,1644875776,
SList 10000 insert,128,127800,8474939392,1644875776,
SList 10000 insert,129,128800,8474939392,1644875776,
SList 10000 insert,130,129900,8474939392,1644875776,
SList 10000 insert,131,130900,8474939392,1644875776,
SList 10000 insert,132,131800,8474939392,1644875776,
SList 10000 insert,133,132800,8474939392,1644875776,
